,Main title of the entry,Location the entry occured ,Geotag,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing. Use this for publications","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume. ,"This is only for citation purposes, using Chicago Style"
section,title,loc,institution,start,end,description_1,description_2,description_3,in_resume,citation
selected_publications,"Schlitz, Nicolas/<strong>Laser, Stefan</strong> (2019): Facing frictions: Waste and globalized inequalities. Austrian Journal of Development Studies: 35(2‐3): 5‐32. Open access.","The article is the result of a collaboration with my waste research colleague Schlitz from Austria, and part of a special issue that dissects global inequalities through waste. It grapples with the fact that waste is inherent to the permanently polluted world in which we are living, while its effects are shared unequally. With this article, we make an innovative proposal for the waste discussion and the literature on political economy. Building on the anthropologist Anna Tsing, we argue for focusing on frictions that make globality possible. We also point to the important role of social movements, without which the scholarly study of materiality would not exist in the form it currently circulates. With facing frictions, we lastly illustrate a productive way of working and thinking that brings together heterogeneous and sometimes competing approaches, which applies to us authors as well, where STS meets Marxism.",,,2019,,,,,
selected_publications,"<strong>Laser, Stefan</strong> (2020): Sorting, shredding and smelting scrap: The production of value by deformation at a high‐tech recycler of electronic waste. Valuation Studies 7(2): 221‐255. Open access.","With this article, I have made a central theoretical and empirical contribution to the value and waste-specific research discourse. The article is part of a special issue that uses assemblage theory to argue for a materialist methodology. It is published in a decentralised, open-access journal that is anchored in Science and Technology Studies and Organisation Studies. I try to spread my research across formats that are as open as possible, and this journal is a prime example of this. The basis for the paper is my empirical research in a recycling firm, highlighting practices of deformation that make economic calculations possible. The study thus demonstrates the value of qualitative research.",,,2020,,,,,
selected_publications,"Gertenbach, Lars/Lamla, Jörn/<strong>Laser, Stefan</strong> (2021): Eating ourselves out of industrial excess? Degrowth, multi‐species conviviality and the micro‐politics of cultured meat. Anthropological Theory 21 (3): 386-408. Open access.","This is the result of exploratory research that was originally intended for a DFG Collaborative Research Centre. The text discusses lab-grown, so-called cultured or 'clean' meat. This is meat substitute produced by means of biotechnology. The Intergovernmental Panel on Climate Change, for example, estimates that lab-grown meat has sufficient potential to help mitigate the enormous greenhouse gases caused by meat production. In the animal ethics debate, cultured meat is sometimes discussed in a positive light. We turn our attention to degrowth research and argue that the field can benefit from a rigorous analysis of technology in action. The paper helped me identify material politics as a research focus. In the period between the dissertation and my first post-doctoral phase, I contributed empirical work and literature syntheses to this endeavour; later, the research led me to guide a monograph on human-animal relations. ",,,2021,,,,,
education,Digital Methods Summer School 2021,University of Amsterdam,"Amsterdam, Netherlands",,07/2021,"This is the prestigious Summer School conducted by the Digital Methods Initiative in Amsterdam in collaboration with Density Design, Milan. The theme of the 2021 Summer School was ""Fake everything: Social media's struggles with inauthentic activities"".  ",Taking part as a research group manager (fascilitator).,Group report published on the theme of greenwashing claims.,TRUE,
education,"PhD, Dr phil (summa cum laude). Sociology","Department of Social Sciences, Kassel University","Kassel, Germany",2014,2019,"Publication from the thesis: Hightech am Ende.
Über das globale Recycling von Elektroschrott und die Entstehung neuer Werte [Hightech at the
end. On the global recycling of electronic waste and the creation of new values]",Supervisors: Prof Dr Jörn Lamla. Prof Dr Tanja Bogusz ,,TRUE,
education,"Master of Arts, Sociology",Friedrich‐Schiller University Jena,"Jena, Germany",2011,2013,,,,,
education,"German Academic Exchange Service, Summer School",RWTH Aachen,"Aachen, Germany",,07/2013,German‐Indo academic exchange,,,,
education,Semester abroad,"Jawaharlal Nehru University, New‐Delhi ","New-Delhi, India",07/2012,03/2013,Studies with the Centre for the Studies of Social Systems,Empirical research in India through the faculty,"Internship with Chintan (Environmental NGO), New‐Delhi",,
education,"Bachelor of Arts, Sociology (major) and Intercultural Business Communication (minor)",Friedrich‐Schiller University Jena,"Jena, Germany",2008,2011,,,,,
education,A levels,"Secondary school, Hamm (Westf.), Germany","Hamm, Germany",,2007,,,,,
"Project Name: SenSi: “Smart Environment, Smart Information?” Smart Environment, Smart Information? Information und Auskunft über personenbezogene Datenverarbeitung im Internet der Dinge [Information and clarification about personal data processing in the Internet of Things]. PIs: Prof. Dr. Prof. Dr. Alexander Roßnagel, Prof. Dr. Jörn Lamla","German Academic Exchange Service, Fellowship, Summer School",,"Aachen, Germany",,2013,,,,,
funding,"German Academic Exchange Service, Travel grant, European Sociological Association",,"Prague, Czech Republic",,2014,,,,,
funding,"Travel grant, Kassel University, “Ethnography and qualitative research conference” ",,"Bergamo, Italy",,2015,,,,,
funding,"DAAD, Travel grant, 4S/EASST conference “Science and technology by other means”",,"Barcelona, Spain",,2016,,,,,
funding,"Co-author of an interdisciplinary research project (Sociology, Law, Political Science) on the theme of “Internet of Things“ ",Kassel University,"Kassel, Germany",,2017,"Project Name: SenSi: “Smart Environment, Smart Information?” Smart Environment, Smart Information? Information und Auskunft über personenbezogene Datenverarbeitung im Internet der Dinge [Information and clarification about personal data processing in the Internet of Things]",Funding institution: Federal Ministry of Justice and Consumer Protection programme to promote innovation in consumer protection in law and business,"Amount of funding: 73.314,72 EUR",,
research_positions,Postdoctoral Researcher,"Collaborative Research Centre Virtual Living Realities, Ruhr-University Bochum, affiliated with the RUSTlab","Bochum, Germany",09/2022,,Employed in  the project A02 that studies the infrastructuring of data centres and the planetary resourcs thus used.,,,,
research_positions,Postdoctoral Researcher,"Collaborative Research Centre Media of Cooperation, affiliated with the Chair of Sociology (especially Workplace Studies), Siegen University","Siegen, Germany",03/2021,09/2022,Employed in the project A04 that focuses on public sector workplace knowledges using the example of the German railway (Deutsche Bahn). ,I studied the recent shift of the German railway towards a 'climate-friendly' organisation that is drawing heavily on digital innovations. ,,FALSE,
research_positions,Postdoctoral Researcher and Coordinator,"Chair of Cultural Psychology and Anthropology of Knowledge, Faculty of Social Science, Ruhr-University Bochum","Bochum, Germany",2019,03/2021,Coordinator of the Ruhr University Science and Technology lab (RUSTlab),Teaching science and technology studies at Master level (graduate students),,,
research_positions,Visiting Scholar,"Department of Work, Organization and Technology (Management School)/Centre for Science Studies (Sociology), Lancaster University","Lancaster, UK",,03/2019,,,,,
research_positions,"Pre-doc, research and teaching assistant, research group coordinator","Chair of Social Theory, Department of Social Science, Kassel University","Kassel, Germany",2013,2019,Teaching social theory as well as various special sociologies at Bachelor level (undergraduate students),From 2016 until 2017: coordinator of an interdisciplinary research group that focuses on consumer protection research ,,,
research_positions,Additional teaching positions,"Giving classes at Friedrich-Schiller University, Kassel University and Ruhr-University Bochum",Germany,2013,2020,,,,,
research_positions,"Student assistent and tutor, Institute for Sociology, Friedrich‐Schiller University Jena",,"Jena, Germany",2009,2013,"Research support, data collection, editorial work",English language course tutoring,,,
teaching_positions,"Collective consumption (B.A. Sociology, Kassel, with Jörn Lamla)",Kassel University,,10/2013,03/2014,,,,,
teaching_positions,Introduction to scientific rigour (B.A. Sociology),Kassel University,,10/2013,03/2014,,,,,
teaching_positions,Social theory 101: N. Luhmann and B. Latour (B.A. Sociology),Kassel University,,4/2014,09/2014,,,,,
teaching_positions,"Lecture: Consumption and socialisation (part of an annual lecture series, Political Science)",Kassel University,,2014,2019,,,,,
teaching_positions,"“A T‐shirt for 2,50? Why even wash it?“ – Value and value creation in a global world (B.A. Sociology, Kassel)",Kassel University,,10/2014,03/2015,,,,,
teaching_positions,Social theory 101: Objectivity and critique (B.A. Sociology),Kassel University,,4/2015,09/2015,,,,,
teaching_positions,About theories of democracy and the post‐democracy hypothesis (B.A. Sociology),Friedrich-Schiller-University Jena,,04/2015,09/2015,,,,,
teaching_positions,Sociology of waste (B.A. Sociology),Kassel University,,10/2016,03/2017,,,,,
teaching_positions,Participation in the B.A. research seminar “Mapping controversies“ (seminar leader: Jörn Lamla). Supervision of a group on the subject of “Electronic waste and new smartphone designs“,Kassel University,,04/2017,09/2017,,,,,
teaching_positions,Social theory 101: Objectivity and critique (B.A. Sociology),Kassel University,,04/2017,09/2017,,,,,
teaching_positions,"Controversial information technology. On Science, technology and the economics of evaluation (B.A. Sociology)",Kassel University,,10/2017,03/2018,,,,,
